Entity,Code,Year,Lower chamber female legislators (aggregate: average)
Africa,,2023,24.8875
Albania,ALB,2023,35.71
Algeria,DZA,2023,7.86
Angola,AGO,2023,33.64
Argentina,ARG,2023,43.19
Armenia,ARM,2023,35.51
Asia,,2023,19.701778
Australia,AUS,2023,38.41
Austria,AUT,2023,40.98
Azerbaijan,AZE,2023,18.64
Bahrain,BHR,2023,20.0
Bangladesh,BGD,2023,20.86
Barbados,BRB,2023,26.67
Belarus,BLR,2023,40.0
Belgium,BEL,2023,42.67
Benin,BEN,2023,26.61
Bhutan,BTN,2023,17.39
Bolivia,BOL,2023,46.15
Bosnia and Herzegovina,BIH,2023,19.05
Botswana,BWA,2023,11.1
Brazil,BRA,2023,17.54
Bulgaria,BGR,2023,24.17
Burkina Faso,BFA,2023,16.9
Burundi,BDI,2023,38.21
Cambodia,KHM,2023,13.6
Cameroon,CMR,2023,33.89
Canada,CAN,2023,30.65
Cape Verde,CPV,2023,41.67
Central African Republic,CAF,2023,12.86
Chad,TCD,2023,25.89
Chile,CHL,2023,35.48
China,CHN,2023,26.54
Colombia,COL,2023,28.88
Comoros,COM,2023,16.67
Congo,COG,2023,14.57
Costa Rica,CRI,2023,47.37
Cote d'Ivoire,CIV,2023,13.73
Croatia,HRV,2023,31.79
Cuba,CUB,2023,55.74
Cyprus,CYP,2023,14.29
Czechia,CZE,2023,26.0
Democratic Republic of Congo,COD,2023,12.8
Denmark,DNK,2023,43.58
Djibouti,DJI,2023,26.15
Dominican Republic,DOM,2023,27.89
East Timor,TLS,2023,36.92
Ecuador,ECU,2023,43.07
Egypt,EGY,2023,27.7
El Salvador,SLV,2023,27.38
Equatorial Guinea,GNQ,2023,31.0
Estonia,EST,2023,28.81
Eswatini,SWZ,2023,17.14
Ethiopia,ETH,2023,41.31
Europe,,2023,32.483414
Fiji,FJI,2023,10.91
Finland,FIN,2023,46.0
France,FRA,2023,37.78
Gabon,GAB,2023,24.49
Gambia,GMB,2023,8.62
Georgia,GEO,2023,18.44
Germany,DEU,2023,35.19
Ghana,GHA,2023,14.55
Greece,GRC,2023,23.0
Guatemala,GTM,2023,20.0
Guinea,GIN,2023,29.63
Guyana,GUY,2023,36.62
Honduras,HND,2023,27.34
Hong Kong,HKG,2023,19.0
Hungary,HUN,2023,14.57
Iceland,ISL,2023,47.62
India,IND,2023,15.24
Indonesia,IDN,2023,21.57
Iran,IRN,2023,5.59
Iraq,IRQ,2023,29.05
Ireland,IRL,2023,23.13
Israel,ISR,2023,24.17
Italy,ITA,2023,32.25
Jamaica,JAM,2023,28.57
Japan,JPN,2023,10.34
Jordan,JOR,2023,12.31
Kazakhstan,KAZ,2023,18.37
Kenya,KEN,2023,23.28
Kosovo,OWID_KOS,2023,33.33
Kuwait,KWT,2023,3.08
Kyrgyzstan,KGZ,2023,20.0
Laos,LAO,2023,21.95
Latvia,LVA,2023,32.0
Lebanon,LBN,2023,6.25
Lesotho,LSO,2023,26.45
Liberia,LBR,2023,10.96
Libya,LBY,2023,16.47
Lithuania,LTU,2023,28.37
Luxembourg,LUX,2023,35.0
Madagascar,MDG,2023,18.54
Malawi,MWI,2023,20.73
Malaysia,MYS,2023,13.51
Maldives,MDV,2023,4.6
Mali,MLI,2023,28.57
Malta,MLT,2023,27.85
Mauritania,MRT,2023,23.3
Mauritius,MUS,2023,20.0
Mexico,MEX,2023,50.0
Moldova,MDA,2023,38.61
Mongolia,MNG,2023,17.11
Montenegro,MNE,2023,20.99
Morocco,MAR,2023,24.3
Mozambique,MOZ,2023,43.2
Namibia,NAM,2023,44.23
Nepal,NPL,2023,33.09
Netherlands,NLD,2023,40.67
New Zealand,NZL,2023,45.53
Nicaragua,NIC,2023,51.65
Nigeria,NGA,2023,3.91
North America,,2023,33.819286
North Korea,PRK,2023,17.61
North Macedonia,MKD,2023,42.5
Norway,NOR,2023,46.15
Oceania,,2023,17.911667
Oman,OMN,2023,2.33
Pakistan,PAK,2023,20.47
Panama,PAN,2023,22.54
Papua New Guinea,PNG,2023,2.7
Paraguay,PRY,2023,22.5
Peru,PER,2023,38.76
Philippines,PHL,2023,27.33
Poland,POL,2023,29.35
Portugal,PRT,2023,36.09
Qatar,QAT,2023,4.44
Romania,ROU,2023,19.09
Russia,RUS,2023,16.44
Rwanda,RWA,2023,61.25
Sao Tome and Principe,STP,2023,14.55
Saudi Arabia,SAU,2023,19.87
Senegal,SEN,2023,46.06
Serbia,SRB,2023,34.8
Seychelles,SYC,2023,22.86
Sierra Leone,SLE,2023,28.19
Singapore,SGP,2023,29.13
Slovakia,SVK,2023,22.0
Slovenia,SVN,2023,37.78
Solomon Islands,SLB,2023,8.0
Somalia,SOM,2023,19.71
Somaliland,OWID_SML,2023,1.23
South Africa,ZAF,2023,45.98
South America,,2023,33.50333
South Korea,KOR,2023,19.06
South Sudan,SSD,2023,32.36
Spain,ESP,2023,44.29
Sri Lanka,LKA,2023,5.33
Suriname,SUR,2023,29.41
Sweden,SWE,2023,46.42
Switzerland,CHE,2023,38.5
Syria,SYR,2023,10.8
Taiwan,TWN,2023,42.0
Tajikistan,TJK,2023,26.98
Tanzania,TZA,2023,37.4
Thailand,THA,2023,18.84
Togo,TGO,2023,19.78
Trinidad and Tobago,TTO,2023,28.57
Tunisia,TUN,2023,16.23
Turkey,TUR,2023,19.83
Turkmenistan,TKM,2023,25.6
Uganda,UGA,2023,33.81
Ukraine,UKR,2023,20.43
United Arab Emirates,ARE,2023,50.0
United Kingdom,GBR,2023,34.57
United States,USA,2023,29.1
Uruguay,URY,2023,26.26
Uzbekistan,UZB,2023,33.57
Vanuatu,VUT,2023,1.92
Venezuela,VEN,2023,34.18
Vietnam,VNM,2023,30.26
World,OWID_WRL,2023,26.444292
Yemen,YEM,2023,0.0
Zambia,ZMB,2023,14.97
Zanzibar,OWID_ZAN,2023,38.16
Zimbabwe,ZWE,2023,30.68
